no,match_id,leagueid,key,value,data_year
73314,6018048037,13173,gl,2,2021
78190,6057266417,13256,g,3,2021
202562,5749599675,12508,ping,1,2020
88890,6090224734,11912,a,1,2021
43824,5900008581,12093,парни,1,2021
86679,6083497394,13335,gwr,1,2021
59907,5961980982,13102,okay,1,2021
48030,5922379061,12906,hfhf,1,2021
8913,5779784080,12726,g,2,2021
6074,5775292023,12726,unico,1,2021
92051,6095632570,13320,voo,3,2021
51364,5935336259,13026,go,1,2021
30837,5853323376,12705,gl,1,2021
20183,5818685136,12767,g,8,2021
32268,5860210491,12780,prince,1,2021
36587,5870302318,12723,gg,2,2021
39619,5882063394,12881,ggwp,1,2021
65369,5983792637,13109,guys,1,2021
66207,5987598779,13150,dont,1,2021
45754,5909443830,12780,sa,4,2021
41683,5893108253,11863,gg,5,2021
65397,5983959495,13084,gege,1,2021
11124,5780882348,12717,бичи,1,2021
73614,6020721562,13150,good,1,2021
27128,5840175466,12735,great,1,2021
92203,6095952789,13268,g,1,2021
73972,6024286440,13237,try,1,2021
45976,5910778141,11912,pode,2,2021
43097,5898743908,11863,good,1,2021
58675,5959763775,13110,now,1,2021
15856,5798884741,12705,hahahahaha,1,2021
93221,6098508410,13320,gyi,1,2021
95880,6103063748,13320,tl,1,2021
85527,6081576568,13194,krengy,1,2021
50781,5934219342,13043,так,1,2021
