no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
33740,21.0,True,2.0,99.0,3.0,63.0,44.0,5231722445,11629,2020
81255,12.0,False,2.0,94.0,,112.0,12.0,5291112461,11591,2020
13876,4.0,False,2.0,31.0,,130.0,20.0,5203064181,11478,2020
61219,14.0,False,2.0,32.0,,81.0,44.0,5264476122,11683,2020
55202,22.0,True,2.0,89.0,1.0,2.0,37.0,5255785060,10946,2020
45769,17.0,True,2.0,13.0,0.0,84.0,49.0,5241995098,11661,2020
196275,2.0,True,2.0,81.0,0.0,-628.0,35.0,5420644398,12012,2020
122712,20.0,False,3.0,100.0,,13.0,73.0,5349107472,11804,2020
131942,8.0,False,2.0,66.0,,130.0,22.0,5360433008,11863,2020
187283,17.0,True,2.0,63.0,4.0,129.0,19.0,5414014176,12027,2020
113342,18.0,True,2.0,110.0,3.0,123.0,70.0,5337546745,11382,2020
191812,15.0,True,3.0,128.0,6.0,77.0,81.0,5416685089,11439,2020
184358,18.0,True,2.0,95.0,4.0,112.0,47.0,5411894214,11831,2020
193377,18.0,True,3.0,78.0,7.0,125.0,16.0,5418141535,11980,2020
199636,19.0,False,3.0,41.0,,13.0,36.0,5424171327,11973,2020
181536,12.0,True,2.0,86.0,4.0,128.0,37.0,5409352581,11099,2020
142728,11.0,True,3.0,51.0,7.0,125.0,2.0,5369967196,11863,2020
171273,10.0,True,3.0,96.0,5.0,125.0,40.0,5401544072,11953,2020
154304,7.0,False,3.0,43.0,,103.0,6.0,5382419171,11831,2020
191355,20.0,False,3.0,29.0,,95.0,8.0,5416390145,11980,2020
101249,5.0,False,3.0,128.0,,130.0,48.0,5321469377,11478,2020
158497,12.0,True,3.0,31.0,7.0,92.0,16.0,5387359446,11249,2020
122096,20.0,False,3.0,13.0,,114.0,36.0,5348228949,11806,2020
132906,4.0,False,3.0,108.0,,130.0,1.0,5361325807,11439,2020
147040,13.0,False,3.0,8.0,,130.0,20.0,5375698222,11898,2020
191207,4.0,False,2.0,129.0,,130.0,1.0,5416304693,11980,2020
144077,19.0,False,3.0,17.0,,35.0,47.0,5371741975,11898,2020
131048,15.0,True,3.0,98.0,6.0,130.0,62.0,5359706099,11439,2020
124191,5.0,False,3.0,43.0,,130.0,6.0,5350989014,11478,2020
111968,7.0,False,3.0,59.0,,130.0,24.0,5336244857,11829,2020
110443,10.0,True,2.0,9.0,4.0,87.0,11.0,5334934614,11807,2020
141072,21.0,True,3.0,83.0,6.0,86.0,10.0,5367837993,11668,2020
175565,1.0,False,2.0,66.0,,130.0,10.0,5405314026,11370,2020
130537,10.0,True,2.0,83.0,4.0,97.0,53.0,5359352509,11668,2020
185719,15.0,True,2.0,100.0,3.0,83.0,37.0,5412700403,12027,2020
160710,15.0,True,2.0,25.0,3.0,130.0,9.0,5389746330,11828,2020
122545,7.0,False,3.0,65.0,,33.0,10.0,5348841758,11735,2020
112829,11.0,True,3.0,128.0,5.0,130.0,45.0,5336650591,11829,2020
132106,18.0,True,3.0,10.0,6.0,55.0,9.0,5360707879,11806,2020
140830,21.0,True,3.0,39.0,5.0,66.0,68.0,5367665253,11668,2020
167926,6.0,False,2.0,43.0,,129.0,35.0,5397861456,11382,2020
106602,19.0,False,3.0,106.0,,101.0,42.0,5329479559,11823,2020
100592,7.0,False,3.0,43.0,,104.0,27.0,5320740298,11370,2020
110415,4.0,False,3.0,7.0,,130.0,10.0,5334905343,11382,2020
166996,22.0,True,2.0,79.0,3.0,92.0,56.0,5396287269,11382,2020
125913,12.0,True,2.0,63.0,4.0,130.0,28.0,5353251610,11735,2020
185207,9.0,True,3.0,128.0,8.0,130.0,89.0,5412508100,11263,2020
196808,19.0,False,3.0,39.0,,128.0,66.0,5421135327,11780,2020
141561,9.0,True,2.0,120.0,3.0,130.0,14.0,5368369601,11877,2020
130532,5.0,False,3.0,112.0,,123.0,2.0,5359352509,11668,2020
174902,16.0,True,3.0,41.0,5.0,85.0,17.0,5404905371,11263,2020
199060,5.0,False,3.0,106.0,,130.0,14.0,5423849954,11668,2020
167290,8.0,False,3.0,98.0,,130.0,48.0,5396553207,11829,2020
136354,20.0,False,2.0,11.0,,1.0,46.0,5363985884,11829,2020
132751,3.0,False,3.0,53.0,,130.0,30.0,5361213941,11668,2020
115927,7.0,False,2.0,121.0,,130.0,6.0,5340628356,11800,2020
140839,8.0,False,3.0,96.0,,130.0,15.0,5367668250,11099,2020
126413,6.0,False,3.0,68.0,,130.0,32.0,5354423288,11382,2020
128215,16.0,True,2.0,42.0,1.0,66.0,61.0,5356428601,11863,2020
108354,11.0,True,3.0,88.0,6.0,130.0,56.0,5331972819,11823,2020
156603,10.0,True,3.0,13.0,9.0,88.0,69.0,5385427671,11249,2020
175686,12.0,True,2.0,106.0,1.0,130.0,19.0,5405361829,11828,2020
154614,9.0,True,2.0,129.0,4.0,130.0,18.0,5382796103,11947,2020
120321,3.0,False,2.0,77.0,,130.0,9.0,5346639293,11829,2020
