no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
16605,6733407034,14373,8629315,Wiser Warriors,WW,https://steamusercontent-a.akamaihd.net/ugc/1986681444713706353/0575A4710A74492DD73284E0218084E9EBD39C20/,8629324,Swift Knights,Sk,https://steamusercontent-a.akamaihd.net/ugc/2017088992310291098/09843295840179839F2FAF5870B9CBAC09E19911/,2022
526,7529047958,15901,9209880,Prodigy Of God,POG,https://cdn.steamusercontent.com/ugc/2502382832092927234/D8CB3937C90008630491BBAFE364224C191A4573/,9270745,Elite Eclipse,EE,https://cdn.steamusercontent.com/ugc/2307594539199380450/B6552232247E395A06E70B98FFE372954ED7A3C1/,2024
85,7519159654,15819,8961813,SHAOLIN,SHN,https://steamusercontent-a.akamaihd.net/ugc/5097543432692536332/C3EA7D411BF1527BD6E77CB50C7BCBFD971F73B9/,8893840,Big Bang Gaming,BB,https://steamusercontent-a.akamaihd.net/ugc/2019352804996053730/B2F33387BA6420EF613A6A80085DA457BF81CA75/,2024
7790,5399911179,11828,7821743,Benny Brian,BB,https://steamusercontent-a.akamaihd.net/ugc/1019444842581338465/4602E63757F2E4E84A4D2E0D8436FC7089FF0777/,7855864,Team Poyo,Poyo,,2020
17884,7256153284,15026,8629005,Flawless Goblins,Fg,https://steamusercontent-a.akamaihd.net/ugc/1972044023037974203/AFD57B5B64B1E42F199DC861D81052FD991943EC/,8629327,Sworn Die,Sd,https://steamusercontent-a.akamaihd.net/ugc/1893228189115135367/7B3DB4DB3D54C15F2647A719B02F0584344C7B55/,2023
997,6388062021,13709,7119388,Team Spirit,TSpirit,https://steamusercontent-a.akamaihd.net/ugc/1839179120711951766/CD7E0885CB527334205CC7885E9C101B7BC17702/,1883502,Virtus.pro,VP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1883502.png,2022
16063,6720836249,14486,8741396,YNT,YNT,https://steamusercontent-a.akamaihd.net/ugc/2022723703313477715/2E89991542D670C8BBF889C67100A0968BCEFFE6/,8390848,ITB.Shuffle,ITB,https://steamusercontent-a.akamaihd.net/ugc/2033971688891717612/74B24272DD4C683A2069F5B75254A61AC429E8A9/,2022
9739,7119030305,14915,8965054,EYE-Gaming,EYE,https://steamusercontent-a.akamaihd.net/ugc/2003571938580599854/20CB1AA41471ABE1B5C460D8CBDE915E595F8B23/,8765917,Shinigami Gaming,Shin,https://steamusercontent-a.akamaihd.net/ugc/2006954531680678481/9FC4E10AC898DD9E3E77A40211558273D498CFC8/,2023
13671,6674075773,14371,8634503,Team Tsunami,Tsunami,https://steamusercontent-a.akamaihd.net/ugc/1831276854743689339/1696216F83B51A3569AC1F84EDABD8DA55DE7714/,7653080,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/1772699046724205365/4B26D0595EF6D331640462985C7C6E01E1BA63AD/,2022
1890,6985639924,14783,8680612,noMERCY,noMERCY,https://steamusercontent-a.akamaihd.net/ugc/2072263299220300385/701C7260941442D8CA1765012CBEE385EC2E23A7/,8606828,Wildcard,WC,https://steamusercontent-a.akamaihd.net/ugc/5105424732072463157/803C73A4F9A4C089EFD08A2E572BDFADEB838260/,2023
4210,7581788819,15901,9088071,EYE Gaming,EYE,https://steamusercontent-a.akamaihd.net/ugc/1880842325021945866/AD594D1C59AB23CF8AFD155209D477A382698B1A/,9209880,Prodigy Of God,POG,https://steamusercontent-a.akamaihd.net/ugc/2294084373444867064/D8CB3937C90008630491BBAFE364224C191A4573/,2024
9568,5432712608,11898,6209166,Team Aster,Aster,https://steamusercontent-a.akamaihd.net/ugc/1629730253163462144/FEF15B2B4528E81103DD693E37FD7B6C9BE6B471/,7407260,Team Saiyan,TSaiyin,https://steamusercontent-a.akamaihd.net/ugc/1842548410827797671/F72DBF5A0896F56D9E7A95E6377ED5CC313A8BD5/,2020
6568,7633275020,16059,8629315,Wiser Warriors,WW,https://steamusercontent-a.akamaihd.net/ugc/1986681444713706353/0575A4710A74492DD73284E0218084E9EBD39C20/,8629014,Dragon Blood,DB,https://steamusercontent-a.akamaihd.net/ugc/2036224122590251530/1CF2060AE5A404AEF691C3180FF9CB522056149A/,2024
1053,5792472355,12718,8261648,Old G,Old.G,https://steamusercontent-a.akamaihd.net/ugc/2057626457212027024/ADB880F0121D19FD7353B6DCD539D276D88F770C/,6209143,Gambit Esports,Gambit,https://steamusercontent-a.akamaihd.net/ugc/1673611238067598411/742FCEE08555E162BCB192F14E2FC6B623092A60/,2021
11570,6632835896,14284,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,2022
884,5213773406,11602,7654082,JW Esports,JW,https://steamusercontent-a.akamaihd.net/ugc/771743400541233662/0FEC63ECC88D9C02ECD350CE0F3FB5DCF866765A/,7391003,GIGA ESPORT,GIGA,https://steamusercontent-a.akamaihd.net/ugc/776231328123156227/A1A5282D3F7C706E4A5733C3E04257210D881FCC/,2020
22049,5747071598,12621,36,Natus Vincere,NAVI,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png,7554697,Nigma Galaxy,NGX,https://steamusercontent-a.akamaihd.net/ugc/1827894588975105240/421C0D8318D71D5DD31FD08A7933AB622AE26590/,2020
18312,5662553744,11170,7482462,Eventus Tenebris,ET,https://steamusercontent-a.akamaihd.net/ugc/771730716928411747/1D5FDE32778D728530A7CD476F23A19C9BEB67D9/,7667563,Orbium,Orbium,https://steamusercontent-a.akamaihd.net/ugc/787502840925625811/5D86C2A4EDF9C8FDA0D0AE3A981FAB22931F11FA/,2020
9646,7683846590,16023,9382161,Пожилые Гачи,PGG,https://steamusercontent-a.akamaihd.net/ugc/2468608552752065275/850F6C2FAF952A3F1835A097A8373741F7EB4789/,9382438,ДРЕВНИЕ РУСЫ,Д. РУСЫ,https://steamusercontent-a.akamaihd.net/ugc/2434831555543563478/48AF4CA3C8B72047108235C9179998A3B2A6B261/,2024
13960,6678514448,14373,8629317,Bright Crusaders,Bc,https://steamusercontent-a.akamaihd.net/ugc/1898855551945525392/1DB70894416C865659F1417EC6330B6DE78470F9/,8629318,Mad Monkeys,Mm,https://steamusercontent-a.akamaihd.net/ugc/2030594623051270091/A10316EBD20ECE720470ED4A5D07B3C6DDDC693A/,2022
5313,7607871629,16201,39,Shopify Rebellion,SR,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/39.png,1838315,Team Secret,Secret,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1838315.png,2024
17225,7248020937,15475,8261500,Xtreme Gaming,XG,https://steamusercontent-a.akamaihd.net/ugc/2023835418754383891/3449F2F94858E332CE6FAD2C1160E3657EF33ACD/,7422789,9Pandas,9Pandas,https://steamusercontent-a.akamaihd.net/ugc/2051995054798077075/215B4406507A2E6FD64172231CB8771D35FC83B1/,2023
22101,7339424370,12903,9142293,leman fanboys,leman,https://steamusercontent-a.akamaihd.net/ugc/2028359449105910687/8DEBA69B8CCEE7A49BDAB75A26C5654B6280ABB5/,7316845,ANIME  FRIENDS FOREVER GAYS,AFFG,https://steamusercontent-a.akamaihd.net/ugc/782989170195164995/E07172C02CBBC3DE255B30D62A07A908C37040EE/,2023
2562,5256968799,11668,7612347,Panda Gaming,,https://steamusercontent-a.akamaihd.net/ugc/778493212059421166/C422ED67AB772453EC693CBC85226A0903E561A9/,7625918,Team Eagles,,https://steamusercontent-a.akamaihd.net/ugc/768360633200403869/EFA6DD2AD46C30BB78B6F5747D0E55B0DDE29A7E/,2020
